filename,job title,date,year,role,organisation,location,research software engineer,research software engineering,software developer,software engineer,research engineer,bioinformatician,any_job,not_job,keep_job
CEM675,research engineer in software engineering for quantum cryptography in networks,3rd March 2021,2021,no_data,university of bristol            ,bristol,False,False,False,True,True,False,True,False,True
CMR337,head of research software engineering,26th January 2022,2022,no_data,university of exeter            ,exeter,True,True,False,False,False,False,True,False,True
CDV458,research associate - bioinformatician,27th January 2021,2021,no_data,imperial college london,london,False,False,False,False,False,True,True,False,True
CAR788,software developer,13th July 2020,2020,no_data,european molecular biology laboratory (embl)            ,hinxton,False,False,True,False,False,False,True,False,True
CEB266,bioinformatician - intrepid project (fixed term),9th February 2021,2021,no_data,university of cambridge            ,cambridge,False,False,False,False,False,True,True,False,True
CGE444,"senior software engineer, data acquisition",21st May 2021,2021,,diamond light source,didcot,False,False,False,True,False,False,True,False,True
CHK390,bioinformatician (analysis pipelines),9th July 2021,2021,no_data,earlham institute            ,norwich,False,False,False,False,False,True,True,False,True
CHE804,research software engineer,1st July 2021,2021,no_data,university of exeter            ,exeter,True,False,False,False,False,False,True,False,True
CMH057,software developer (2 posts),12th January 2022,2022,no_data,sheffield hallam university            ,sheffield,False,False,True,False,False,False,True,False,True
BZY030,research assistant - bioinformatician (fixed term),29th April 2020,2020,no_data,university of cambridge            ,cambridge,False,False,False,False,False,True,True,False,True
CFZ659,software engineer,14th May 2021,2021,no_data,university of southampton            ,southampton,False,False,False,True,False,False,True,False,True
CPA222,senior bioinformatician,19th April 2022,2022,ok,wellcome sanger institute ,"cambridge, hinxton",False,False,False,False,False,True,True,False,True
CFL931,"software engineer, data acquisition",20th April 2021,2021,,diamond light source,oxford,False,False,False,True,False,False,True,False,True
CFO788,research associate - mobile robot software developer,26th April 2021,2021,no_data,the university of manchester            ,whitehaven,False,False,True,False,False,False,True,False,True
CKR689,research software engineer,11th November 2021,2021,no_data,university of sheffield            ,sheffield,True,False,False,False,False,False,True,False,True
CLN790,senior bioinformatician,9th December 2021,2021,no_data,university of oxford            ,oxford,False,False,False,False,False,True,True,False,True
CSM414,senior bioinformatician (fixed term),16th August 2022,2022,no_data,university of cambridge            ,cambridge,False,False,False,False,False,True,True,False,True
CJV077,industry coordinator for immersive software engineering - specific purpose contract,12th October 2021,2021,,university of limerick ,limerick - ireland,False,False,False,True,False,False,True,False,True
CRX333,research data scientist/research software engineer,27th July 2022,2022,no_data,the alan turing institute,london,True,False,False,False,False,False,True,False,True
CLX037,bioinformatician,22nd December 2021,2021,no_data,university of glasgow            ,glasgow,False,False,False,False,False,True,True,False,True
CPX961,senior software engineer (cryo-em),20th May 2022,2022,no_data,diamond light source,harwell,False,False,False,True,False,False,True,False,True
