filename,job title,date,year,role,software,research software engineer,software developer,software engineer,refined software engineer
AIS806,faculty position in business,12th May 2014,2014,Academic or Research,False,False,False,False,False
AIS897,conference assistants (casual work),12th May 2014,2014,Clerical,False,False,False,False,False
AIT048,mona phd scholarship,13th May 2014,2014,PhD,False,False,False,False,False
AIS061,postdoctoral fellowships at embl-ebi,13th May 2014,2014,Academic or Research,False,False,False,False,False
AIP887,3 engineering phd studentships sponsored by rolls-royce: wear in gas turbines,23rd April 2014,2014,PhD,False,False,False,False,False
AIM909,phd in segregation of formulated bulk particulate products,3rd April 2014,2014,PhD,False,False,False,False,False
AIO728,hrp heritage science scholarship,15th April 2014,2014,PhD,False,False,False,False,False
AIT300,english language instructors,14th May 2014,2014,Academic or Research,False,False,False,False,False
AIS745,phd studentship in biology,12th May 2014,2014,PhD,False,False,False,False,False
AIS972,phd studentship in nano electronics and nanomaterials,13th May 2014,2014,PhD,False,False,False,False,False
AIT102,research assistant,13th May 2014,2014,Academic or Research,False,False,False,False,False
AIT306,english language instructors,14th May 2014,2014,Academic or Research,False,False,False,False,False
AIS974,phd studentship in nano electronics for medical diagnostics,13th May 2014,2014,PhD,False,False,False,False,False
ADO520,advanced communication support worker - bsl level 3,13th July 2016,2016,Clerical,False,False,False,False,False
AIS732,research assistant in molecular genetics of disease resistance,12th May 2014,2014,Academic or Research,False,False,False,False,False
AIT384,phd studentship,14th May 2014,2014,PhD,False,False,False,False,False
ADO516,communication support worker,13th July 2016,2016,Professional or Managerial,False,False,False,False,False
AIK359,"assistant, associate or full professor",21st May 2014,2014,Academic or Research,False,False,False,False,False
AIT235,biophysical modelling of the heart,13th May 2014,2014,PhD,False,False,False,False,False
AIP498,charles letts memorial postgraduate scholarship 2014-15 entry,17th April 2014,2014,PhD,False,False,False,False,False
AHZ396,employment services support assistant,16th January 2014,2014,Clerical,False,False,False,False,False
AIP633,"lecturer in british/irish history, 1800-1922 (education and research)",22nd April 2014,2014,Academic or Research,False,False,False,False,False
AIT256,field engineer/ field engineer trainee,14th May 2014,2014,Academic or Research,False,False,False,False,False
AIS812,phd scholarship in control of biological nitrous oxide production,12th May 2014,2014,PhD,False,False,False,False,False
AIT277,funded phd research studentships,15th May 2014,2014,PhD,False,False,False,False,False
AIS894,phd studentship,12th May 2014,2014,PhD,False,False,False,False,False
AIT016,lecturer in international business law,13th May 2014,2014,Academic or Research,False,False,False,False,False
AIS250,"lecturer, european politics and institutions",8th May 2014,2014,Academic or Research,False,False,False,False,False
AIT416,nursery assistant,14th May 2014,2014,Craft or Manual,False,False,False,False,False
AIR186,industrial case phd studentship with awe,30th April 2014,2014,PhD,False,False,False,False,False
AIT445,phd studentship,14th May 2014,2014,PhD,False,False,False,False,False
AIT392,phd studentship award,14th May 2014,2014,PhD,False,False,False,False,False
AHT165,"assessment manager, science",29th November 2013,2013,Professional or Managerial,False,False,False,False,False
AIT303,academicians in the field of law,14th May 2014,2014,Academic or Research,False,False,False,False,False
AIS914,phd studentship in computational statistics for inhomogenous multiresolution random fields,12th May 2014,2014,PhD,False,False,False,False,False
AIS722,pre-sessional eap teacher,12th May 2014,2014,Academic or Research,False,False,False,False,False
AIT305,bbsrc mres/phd studentship,14th May 2014,2014,PhDMasters,False,False,False,False,False
AIT302,"academicians in the fields of business, management, tourism and logistics",14th May 2014,2014,Academic or Research,False,False,False,False,False
AIR642,engd (international),2nd May 2014,2014,PhD,False,False,False,False,False
AIT317,bbsrc mres/phd studentship,14th May 2014,2014,PhDMasters,False,False,False,False,False
AIE802,"northern institute for cancer research scholarships, bursaries and studentships",17th February 2014,2014,Masters,False,False,False,False,False
AIS962,mathematician - mathematical researcher,13th May 2014,2014,Academic or Research,False,False,False,False,False
AIM344,msc scholarships,1st April 2014,2014,Masters,False,False,False,False,False
AIT460,phd studentship: high-fidelity simulations of the interaction of freestream turbulence with turbulent boundary layers,14th May 2014,2014,PhD,False,False,False,False,False
AIT434,phd studentship,14th May 2014,2014,PhD,False,False,False,False,False
AIT255,research assistant or associate in high performance networks,14th May 2014,2014,Academic or Research,False,False,False,False,False
AIT252,phd studentship: space systems design for demise and survival,14th May 2014,2014,PhD,False,False,False,False,False
